วันที่,ภาค,ผู้ดูแล,รหัสร้าน,ชื่อสาขา,ยอดขาย
2026-08-01,กรุงเทพฯ/ปริมณฑล,,B000,สำนักงานใหญ่,0.0
2026-08-01,กรุงเทพฯ/ปริมณฑล,คุณปิยพงษ์ (โต),B044-01,บางกรวย–ไทรน้อย044-01,0.0
2026-08-01,กรุงเทพฯ/ปริมณฑล,คุณปิยพงษ์ (โต),B069-01,พุทธมณฑลสาย5 069-01,0.0
2026-08-01,กรุงเทพฯ/ปริมณฑล,คุณปิยพงษ์ (โต),B088-01,บางพลี088-01,0.0
2026-08-01,กรุงเทพฯ/ปริมณฑล,คุณปิยพงษ์ (โต),B112-01,หนองจอก112-01,0.0
2026-08-01,กรุงเทพฯ/ปริมณฑล,คุณปิยพงษ์ (โต),B113-01,ลำลูกกาคลอง7 113-01,0.0
2026-08-01,กรุงเทพฯ/ปริมณฑล,คุณเสกสรรค์ (เสก),B099-01,รังสิตคลอง2 099-01,0.0
2026-08-01,กรุงเทพฯ/ปริมณฑล,คุณเสกสรรค์ (เสก),B100-01,ปทุมธานี100-01,0.0
2026-08-01,กรุงเทพฯ/ปริมณฑล,ส่วนกลาง,B008,บางแวก008,52637.34
2026-08-01,กรุงเทพฯ/ปริมณฑล,ส่วนกลาง,B011,กรุงเทพกรีฑา011,20865.42
2026-08-01,กรุงเทพฯ/ปริมณฑล,ส่วนกลาง,B018,เสนานิคม018,7046.74
2026-08-01,กรุงเทพฯ/ปริมณฑล,ส่วนกลาง,B019,พระยาสุเรนทร์019,50059.84
2026-08-01,กรุงเทพฯ/ปริมณฑล,ส่วนกลาง,B023,ดอนเมือง023,25465.43
2026-08-01,กรุงเทพฯ/ปริมณฑล,ส่วนกลาง,B024,วัดด่านสำโรง024,127837.36
2026-08-01,กรุงเทพฯ/ปริมณฑล,ส่วนกลาง,B025,สายไหม025,18893.48
2026-08-01,กรุงเทพฯ/ปริมณฑล,ส่วนกลาง,B032,บางบัวทอง032,84994.39
2026-08-01,กรุงเทพฯ/ปริมณฑล,ส่วนกลาง,B032-01,บางบัวทอง032-01,5130.84
2026-08-01,กรุงเทพฯ/ปริมณฑล,ส่วนกลาง,B044,บางกรวย–ไทรน้อย044,21599.07
